"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"0943",020241213,"PAY   ",-0000000034750.00,"ELECTRONIC BANKING PAYMENT TO ","CD516 CD5165 DIRISA NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000035236.74,"ELECTRONIC BANKING PAYMENT TO ","SR612 SR6126 RDT GE NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000035667.99,"ELECTRONIC BANKING PAYMENT TO ","SG605 SG6057 GMJ CI NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000038185.84,"ELECTRONIC BANKING PAYMENT TO ","SR613 SR6133 ROOS G ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000040419.65,"ELECTRONIC BANKING PAYMENT TO ","SW603 SW6030 WH COA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000040662.20,"ELECTRONIC BANKING PAYMENT TO ","SM624 SM6243 MUSA W NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000042194.88,"ELECTRONIC BANKING PAYMENT TO ","SL604 SL6045 LAUBSC NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000042951.38,"ELECTRONIC BANKING PAYMENT TO ","SC619 SC6193 CAMOES ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000043188.82,"ELECTRONIC BANKING PAYMENT TO ","SN611 SN6117 NT PRO ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000043500.89,"ELECTRONIC BANKING PAYMENT TO ","SR604 SR6042 R PHIA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000043900.00,"ELECTRONIC BANKING PAYMENT TO ","SM627 SM6274 MOELEE ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000045500.42,"ELECTRONIC BANKING PAYMENT TO ","SP605 SP6052 PHUMEL NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000045876.73,"ELECTRONIC BANKING PAYMENT TO ","SB618 SB6181 BM MAK ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000046251.00,"ELECTRONIC BANKING PAYMENT TO ","SG610 SG6101 GIBCON ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000047187.50,"ELECTRONIC BANKING PAYMENT TO ","CK711 CK7118 KLIPKO NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000047474.93,"ELECTRONIC BANKING PAYMENT TO ","SL609 SL6097 LOMSO  ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000047639.06,"ELECTRONIC BANKING PAYMENT TO ","BIBCF 532020 BIBC   NHU2312:37        ",000509,000.00
"0943",020241213,"PAY   ",-0000000047816.94,"ELECTRONIC BANKING PAYMENT TO ","SE621 SE6214 EMP3RO NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000047899.61,"ELECTRONIC BANKING PAYMENT TO ","SC611 SC6115 CYAFIX ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000048846.60,"ELECTRONIC BANKING PAYMENT TO ","SM625 SM6254 MACWIL ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000049209.08,"ELECTRONIC BANKING PAYMENT TO ","SG605 SG6057 GMJ CI NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000049943.90,"ELECTRONIC BANKING PAYMENT TO ","ST611 ST6111 THUSO  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000052448.89,"ELECTRONIC BANKING PAYMENT TO ","SO603 SO6036 OSWALD ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000053499.96,"ELECTRONIC BANKING PAYMENT TO ","SM624 SM6249 M&M CO ZCX8314:23        ",000509,000.00
